Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
376.3208,arachdcrn,M-C3H4O2+H[1+],4.82,0.00023540487001128,EC00018
376.3211,arachdcrn,M-C3H4O2+H[1+],4.09,6.45951299702574e-05,EC00018
404.3529,arachdcrn,M-CO2+H[1+],4.35,0.000564595129958434,EC00018
412.3195,arachdcrn,M-H4O2+H[1+],3.36,0.00143540486999427,EC00018
412.3206,arachdcrn,M-H4O2+H[1+],4,0.000335404869986178,EC00018
412.321,arachdcrn,M-H4O2+H[1+],3.68,6.45951300271008e-05,EC00018
420.3481,arachdcrn,M-CO+H[1+],4.21,0.000964595129971713,EC00018
430.3306,arachdcrn,M-H2O+H[1+],5.62,0.000935404870006096,EC00019
430.331,arachdcrn,M-H2O+H[1+],3.8,0.000535404869992817,EC00018
430.3312,arachdcrn,M-H2O+H[1+],5.75,0.000335404869986178,EC00019
430.3315,arachdcrn,M-H2O+H[1+],3.32,3.54048700046405e-05,EC00018
431.3152,arachdcrn,M-NH3+H[1+],4.29,0.000435404870017919,EC00018
448.3414,arachdcrn,M+H[1+],4.45,0.000735404869999456,EC00018
448.3418,arachdcrn,M+H[1+],4.66,0.000335404870043021,EC00018
448.3422,arachdcrn,M+H[1+],3.2,6.45951299702574e-05,EC00018
448.34229,arachdcrn,M+H[1+],3.32,0.000154595129970403,EC00018
466.3525,arachdcrn,M+H2O+H[1+],4.75,0.00023540487001128,EC00018
470.3241,arachdcrn,M+Na[1+],3.33,3.5404870061484e-05,EC00018
470.3243,arachdcrn,M+Na[1+],3.2,0.000164595129945155,EC00018
486.2978,arachdcrn,M+K[1+],3.43,0.000164595130001999,EC00018
486.2982,arachdcrn,M+K[1+],3.2,0.000564595130015277,EC00018
486.2983,arachdcrn,M+K[1+],3.49,0.000664595129990175,EC00018
486.2984,arachdcrn,M+K[1+],3.32,0.000764595130021917,EC00018
506.3029,arachdcrn,M+NaCl[1+],4.81,0.00216459513001155,EC00018
516.3321,arachdcrn,M+HCOONa[1+],4.54,0.00256459512991114,EC00018
532.3047,arachdcrn,M+HCOOK[1+],4.26,0.00126459513001009,EC00018
532.3054,arachdcrn,M+HCOOK[1+],3.29,0.00196459512994807,EC00018
832.1189,C00024,M+Na[1+],3.55,0.00382353323004736,EC00020
599.1767,C00032,M-H2O+H[1+],5.86,0.00272353322998242,EC00021
599.1769,C00032,M-H2O+H[1+],5.72,0.0029235332300459,EC00021
617.1873,C00032,M+H[1+],4.65,0.00272353323009611,EC00022
617.18735,C00032,M+H[1+],4.72,0.00277353323008356,EC00022
685.1748,C00032,M+HCOONa[1+],4.65,0.00282353323007101,EC00022
330.074,C00051,M+Na[1+],2.96,0.000923533230036355,EC00023
595.1458,C00127,M-H2O+H[1+],5.04,0.00287646677008979,EC00024
782.6788,C00157,M-C3H4O2+H[1+],10.04,0.000182581729973208,EC00025
876.6832,C00157,M+Na[1+],9.79,0.00148258172998794,EC00025
593.4908,C00165,M-C3H4O2+H[1+],8.91,0.00205176007000318,EC00026
593.491,C00165,M-C3H4O2+H[1+],9.48,0.00185176007005339,EC00026
593.4911,C00165,M-C3H4O2+H[1+],9.46,0.00175176007007849,EC00026
593.4915,C00165,M-C3H4O2+H[1+],8.72,0.00135176007006521,EC00026
593.4917,C00165,M-C3H4O2+H[1+],8.56,0.00115176007000173,EC00026
