m.z,rt,p.value,t.score
857.7563,12.34,0.109262675551649,0.808356333333332
865.7262,11.74,0.29167799453566,0.677547833333334
867.7401,11.99,0.277855436817389,0.653349666666667
869.7561,12.24,0.0367412053299875,1.76008833333333
871.7736,12.52,0.215785415264359,1.15639466666667
871.6791,10.95,0.856249723446424,0.211526333333334
873.694,11.19,0.240793046069063,1.234938
875.7095,11.43,0.0730874627374264,1.58302183333333
877.7251,11.67,0.416636713219213,0.401393999999999
879.7408,11.92,0.22013551592613,0.921566833333335
881.7564,12.18,0.10870266842704,1.1559335
883.7721,12.43,0.0681496778819869,1.07669916666667
885.7882,12.69,0.0648319057240049,1.12183233333333
893.7563,12.1,0.0592120186838008,0.953179833333331
901.7243,11.53,0.545227962245476,0.561002166666667
903.7406,11.78,0.4269614907855,0.668404666666665
905.7562,12.03,0.280364442517969,0.847688999999998
907.7721,12.28,0.138987685644842,1.1087985
909.7875,12.53,0.116536059953829,1.2127145
911.8037,12.79,0.0354192255352067,1.1057925
921.788,12.45,0.0525037917131769,1.4919
923.8038,12.71,0.274485419980838,0.791867333333333
927.7399,11.74,0.00208962657168653,2.54997783333333
929.755,11.87,0.162269000710288,0.891639333333331
933.7877,12.37,0.0959275640820099,0.840325333333332
935.8034,12.63,0.0602059687735664,1.04082633333333
937.817,12.91,0.0316938999724211,0.736979999999999
939.8351,13.22,0.0888349122894441,1.0157705
949.7261,11.47,0.722939077716301,0.580019500000001
369.3516,7.35,0.305063825632867,0.662817
371.3671,7.61,0.0478742742778523,-0.901844666666668
397.383,7.85,0.0589093532095157,1.0657015
286.1437,3.69,0.0135237175982233,1.75667816666667
640.6037,11.78,0.00649050300924902,1.51659916666667
642.6187,12.1,0.800652430505701,0.170322999999998
664.6023,11.6,0.0239487142926307,1.213148
666.6182,11.89,0.00068935067104296,1.49312033333333
668.6338,12.19,0.081575926766533,0.694973999999998
670.6497,12.52,0.102865993629356,-0.789134
688.604,11.46,0.0191048836353961,1.4154715
690.6181,11.74,0.00074288929844316,1.92794916666666
692.6338,11.99,0.107797980033227,0.636070166666665
714.6188,11.59,0.0405832693170267,1.21260283333333
716.6339,11.82,0.51090058426461,0.463483666666666
718.6494,12.11,0.089030493898089,0.997636833333332
334.2952,4.85,0.150492188291617,-0.831789833333334
376.3421,5.81,0.0527113017653724,0.571414333333333
430.388,6.9,0.212850874996859,0.918140666666665
582.5099,8.48,0.201841626939937,0.963388666666667
584.5253,8.81,0.202010130923347,0.965713166666666
608.5253,8.66,0.0851652909552236,1.27600516666667
610.5405,8.95,0.106736597832841,1.18222133333333
612.5563,9.24,0.0158139920092802,1.50140333333333
634.5406,8.77,0.226705706709533,0.866043499999999
636.5561,9.07,0.098169355607653,1.316136
638.5717,9.37,0.0432635122238306,1.49799216666667
