"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Drug metabolism - other enzymes","31","3","2","3.051","0.93191","0.99395","0.27722","59","0.59","1","1","1","P48","EC000432;EC000434"
"Methionine and cysteine metabolism","94","6","3","4.5764","0.94583","0.99227","0.3037","42","0.42","1","1","1","P49","EC000134;EC00023;EC000215"
"Di-unsaturated fatty acid beta-oxidation","26","5","2","6.1019","0.9579","0.99246","0.33228","67","0.67","1","1","1","P50","EC000491;EC000151;EC000152;EC000153"
"Drug metabolism - cytochrome P450","53","8","4","6.1019","0.9579","0.99246","0.33228","64","0.64","1","1","1","P51","EC000141;EC000142;EC000102;EC000365"
"Tryptophan metabolism","94","5","2","3.8137","0.97693","0.99833","0.39729","50","0.5","1","1","1","P52","EC00023;EC000155"
"Aspartate and asparagine metabolism","114","5","2","3.8137","0.97693","0.99833","0.39729","33","0.33","1","1","1","P53","EC000454;EC00023"
"Histidine metabolism","33","3","1","2.2882","0.97855","1","0.40477","49","0.49","1","1","1","P54","EC00023"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","2","1","2.2882","0.97855","1","0.40477","100","1","1","1","1","P55","EC00026"
"Parathio degradation","6","1","1","2.2882","0.97855","1","0.40477","40","0.4","1","1","1","P56","EC000362"
"Glycine, serine, alanine and threonine metabolism","88","3","1","2.2882","0.97855","1","0.40477","40","0.4","1","1","1","P57","EC00023"
"Starch and Sucrose Metabolism","33","5","1","2.2882","0.97855","1","0.40477","57","0.57","1","1","1","P58","EC000111"
"Sialic acid metabolism","107","3","1","3.051","0.99409","1","0.52501","94","0.94","1","1","1","P59","EC00026"
"Porphyrin metabolism","43","6","2","6.1019","0.99927","0.99997","0.6719","100","1","1","1","1","P60","EC000331;EC000130"
"Mono-unsaturated fatty acid beta-oxidation","19","5","1","4.5764","0.99956","1","0.70017","67","0.67","1","1","1","P61","EC000450"
