"p.value","m.z","t.score","r.t"
0.0111873842359609,890.6558,1.41360733333333,8.38
0.00127524918443113,912.6386,1.5833545,8.38
0.985815127895421,922.6456,0.0196473333333316,8.38
0.0279058063255179,927.6006,-1.6413145,8.38
0.628776266895746,943.5739,0.402432333333332,8.38
0.0585143892205207,962.8174,-2.30045,8.38
0.0573037479257118,983.7465,-1.424173,8.38
0.882792067417924,441.3711,0.161131333333335,8.39
0.302635967630954,473.399,-1.21284133333333,8.39
0.7132376340793,476.4089,0.306482000000002,8.39
0.653039323576069,499.3736,0.311152,8.39
0.356783861665732,511.472,-0.543103666666668,8.39
0.111059798002913,531.4523,-0.991184999999998,8.39
0.658093387871047,546.4882,-0.455452833333335,8.39
0.26866613700477,572.5031,-0.656348666666667,8.39
0.881082604781707,618.5058,0.126422666666665,8.39
0.0130080064430015,634.4808,-3.20142033333334,8.39
0.692688792710979,715.5976,-0.339170333333333,8.39
0.29132430762417,824.5643,-0.670498666666668,8.39
0.701853286605882,472.4362,-0.426898333333335,8.4
0.915304103559874,475.4505,-0.0637981666666685,8.4
0.255225190153156,477.3918,0.856579833333333,8.4
0.0534023243534165,497.4571,1.57308566666667,8.4
0.00507005950089175,498.4513,1.87067083333333,8.4
0.871376455513347,507.4769,0.176816833333334,8.4
0.886926037833894,525.4881,-0.0971118333333349,8.4
0.974242767030186,528.4988,0.0212718333333322,8.4
0.845387120053015,539.5049,-0.161289000000001,8.4
0.782569322450222,555.4357,0.169911166666666,8.4
0.825366402036899,613.5183,0.175470833333333,8.4
0.174626437695922,635.3482,0.878195000000001,8.4
0.00583973995701414,674.5709,-1.42921183333333,8.4
0.0847761865991395,683.5984,1.18945183333333,8.4
0.154297323292857,695.5008,-0.759500333333335,8.4
0.0368783884153108,702.6021,-1.3489475,8.4
0.726526764127043,753.5482,-0.21200916666667,8.4
0.24453863362617,756.6118,1.03101,8.4
0.0916908932056872,247.2425,1.6403005,8.41
0.0272668821115661,265.2526,-0.968674500000001,8.41
0.0362244002280717,284.2666,-1.09163716666667,8.41
0.015403075784598,355.2631,-1.29073566666667,8.41
0.0854321944437101,359.2945,-0.977266833333334,8.41
0.00975719544423973,373.2741,-1.07308333333333,8.41
0.429986396093552,414.3003,-0.5077855,8.41
0.966796631970073,472.4517,-0.0707721666666666,8.41
0.818527212924086,484.4516,-0.116228166666669,8.41
0.548062957023749,491.3865,-0.657119333333332,8.41
0.802479022284038,549.4277,-0.191089666666667,8.41
0.337561623162637,567.361,0.869855166666666,8.41
0.546856258894074,610.5472,-0.414030333333335,8.41
0.0800871692904459,620.5252,-1.23303666666667,8.41
0.233535892797528,629.398,-0.9684315,8.41
0.0155251920392429,653.5111,-1.423254,8.41
0.00739070000803752,659.5608,-1.45156816666667,8.41
0.0502225505236176,672.556,-1.09218466666667,8.41
0.623594812625326,677.5114,-0.2751015,8.41
0.0208009529390439,677.5874,-1.58908183333333,8.41
0.0602519883876936,682.5462,-1.32839933333333,8.41
0.0939324008411355,686.5687,-1.06485566666667,8.41
0.929878255348623,686.5913,-0.0732418333333359,8.41
0.016458295461968,690.5955,-1.22155033333333,8.41
0.021501305257621,691.5478,0.948056166666666,8.41
0.807156741045727,699.4938,-0.167306833333332,8.41
0.828730649375287,707.5216,0.127433833333333,8.41
0.37917324074481,714.5668,-0.719053666666665,8.41
0.073718300099786,717.5897,1.138021,8.41
0.270999833612796,724.5889,-0.683082000000001,8.41
0.781329552868587,731.5937,-0.257256833333333,8.41
0.537366503363221,767.4817,0.606558833333332,8.41
0.944768428456333,299.2583,0.0374811666666663,8.42
0.0529325678316808,341.2844,1.68227733333334,8.42
0.240815779703958,505.3806,-1.01593166666667,8.42
0.845839561412876,543.5457,-0.214952333333331,8.42
0.0389970325173771,549.4494,1.7960175,8.42
0.955172235232433,577.4628,-0.043851666666667,8.42
0.144537001563473,587.5033,-0.754832500000002,8.42
0.874886459595724,593.4342,0.118670333333333,8.42
0.106858282971025,640.5855,1.6153365,8.42
0.594413476347481,641.5506,0.514628499999998,8.42
0.958275437849102,643.4712,0.0473268333333337,8.42
0.21182253928047,649.5384,1.4318295,8.42
0.993326567906006,665.5318,-0.00793300000000083,8.42
0.0388124330181752,679.5278,-0.854088499999999,8.42
0.612510367109647,679.5515,0.537287499999998,8.42
0.712327915489505,683.4644,-0.460812833333336,8.42
0.200058274733172,699.438,1.37927566666667,8.42
0.0498999270612557,719.5346,1.86267316666667,8.42
0.928178467155347,736.5487,-0.0879291666666673,8.42
0.357626821244965,758.5326,0.842182000000001,8.42
0.717854179507046,761.6039,-0.409663333333333,8.42
0.600243207101841,780.5501,0.478263833333331,8.42
0.949754530395008,848.5372,-0.0594568333333323,8.42
0.747803017739845,523.528,0.338886666666667,8.43
0.100973298890265,537.3946,0.600841166666667,8.43
0.455385794827134,540.5353,-0.284013333333333,8.43
0.2299247046492,553.3685,0.537233666666665,8.43
0.65944283451821,562.517,-0.148671500000001,8.43
0.00651678283094496,565.4236,-2.12400183333333,8.43
0.0855387756668738,590.5479,2.46855816666667,8.43
0.533441755037424,598.5882,-0.39583866666667,8.43
0.503691677094844,626.5705,-0.569803166666666,8.43
0.389166043323219,645.4832,-0.5128075,8.43
0.560382116214425,647.5006,-0.482410999999999,8.43
0.197035522168303,667.5966,1.11612166666667,8.43
0.445577165235584,675.5531,-0.818245666666666,8.43
0.388820527380778,681.5075,0.974771166666666,8.43
0.336729320866498,759.235,-0.717907666666668,8.43
0.557689893252869,775.5988,0.272686833333332,8.43
0.577343435128342,788.5438,0.896778000000002,8.43
0.843067942274618,788.6227,0.216807666666668,8.43
0.519090265394745,796.5249,-0.825929333333333,8.43
0.0580885201260525,923.5292,1.27829533333333,8.43
0.185477245088104,454.8862,0.451032833333334,8.44
0.482659134175035,578.4914,0.182244166666666,8.44
0.444498781421875,589.4723,-0.696465666666667,8.44
0.442445233259517,629.4497,-0.797125833333334,8.44
0.143146177133236,697.4815,1.43457016666667,8.44
0.955685372780979,737.5797,0.0754251666666685,8.44
0.753079689678882,770.8005,-0.461121666666667,8.44
0.00024309328283386,810.6051,2.053216,8.44
0.535010907754599,896.5467,0.761971666666672,8.44
0.450989495357957,901.5483,0.612185666666665,8.44
0.849232878226238,939.5029,-0.157228166666667,8.44
0.360242561210947,214.0098,0.446209833333334,8.45
0.0247347589111336,216.9224,0.787140333333333,8.45
0.852188095063797,549.4852,-0.143819166666669,8.45
0.601199485429936,565.4593,-0.391407000000002,8.45
0.240657550782751,568.5298,0.970663166666668,8.45
0.128209548302685,588.4688,0.737387166666668,8.45
0.314080577439181,591.3142,0.575420333333332,8.45
0.895387041308117,596.5047,0.0873698333333325,8.45
0.277315225234659,661.4823,1.06009483333333,8.45
0.11899216184317,670.5987,-1.0573885,8.45
0.0712748905328561,685.5372,-1.14001583333334,8.45
0.629973272318417,692.5273,-0.494454000000001,8.45
0.626281057668687,851.5627,0.276367333333333,8.45
0.462127662999215,876.6762,0.406015500000001,8.45
0.505087895109455,881.6318,-0.389211333333333,8.45
0.235438885198137,897.6048,0.823986999999999,8.45
0.0621437082370494,216.9224,0.653469666666667,8.46
0.832370385144453,477.4458,-0.112723166666668,8.46
0.280334736738149,527.5035,1.0759555,8.46
0.506232009239424,547.4719,0.415186333333331,8.46
0.429249345522021,587.5038,-0.506643,8.46
0.224832265792303,591.5148,-1.121699,8.46
0.479808610127625,616.5294,-0.616565666666666,8.46
0.0128671162996302,655.5283,-1.38368633333333,8.46
0.408859115921733,680.5782,-0.587035333333335,8.46
0.657044275923713,695.52,0.314611166666665,8.46
0.533931303767026,715.5267,0.458894500000001,8.46
0.336729320866498,730.2447,0.4413365,8.46
0.039389553054708,739.5644,-1.186748,8.46
0.116744935497135,744.5205,-0.972006333333335,8.46
0.101298977287619,759.9032,-1.057276,8.46
0.391837381202102,766.5033,0.958757666666667,8.46
0.0145429193709051,793.5212,1.52695866666667,8.46
0.100195925534906,839.6215,-0.919190166666669,8.46
0.725031034429598,934.6444,0.438864833333333,8.46
0.407499249937451,466.2988,-0.467715000000001,8.47
0.581417301346714,533.4122,0.192184833333333,8.47
0.907922821194027,546.5246,0.101927166666667,8.47
0.94562798348626,564.5354,0.045779666666666,8.47
0.74421573431217,586.5169,-0.149190666666667,8.47
0.824905623612437,597.4873,0.229988499999997,8.47
0.804518300395774,602.492,0.111879166666666,8.47
0.412799417223363,612.5334,0.653811666666668,8.47
0.429101524624864,622.5881,-0.498306333333335,8.47
0.0250466458867008,663.5749,2.2912215,8.47
0.659907583506343,705.5695,-0.192748833333334,8.47
0.0002002997129258,733.5365,2.02172966666667,8.47
0.201551496772844,772.5928,0.746125499999998,8.47
0.244281994764777,799.6005,-0.969853999999999,8.47
0.0736845926137355,261.2209,1.61030083333333,8.48
0.901595138824501,331.2839,0.0826794999999996,8.48
0.192559003593115,335.258,-1.078454,8.48
0.543050651806704,337.2734,0.391464166666667,8.48
0.972683075540111,512.4828,-0.0202803333333342,8.48
0.847926680095597,543.4765,0.243271333333332,8.48
0.743559944509414,578.5133,0.106541166666666,8.48
0.581010667292045,583.4696,-0.312637333333335,8.48
0.299595689828358,585.4875,-0.824555833333333,8.48
0.283032490514004,599.4456,-0.800932499999998,8.48
0.810169390356514,599.4633,0.200141500000002,8.48
0.0775312225460365,603.4388,1.239507,8.48
0.0924928601756903,615.498,1.30471283333333,8.48
0.0616270334003822,620.5446,0.842642500000001,8.48
0.158588751012976,632.5253,0.919813166666668,8.48
0.0853047744086323,637.48,1.18683683333333,8.48
0.0312379229671386,653.454,1.74286716666666,8.48
